ID,CATEGORY,TEXT,COUNTER NARRATIVES
1585,Transphobic-derogation,திருநம்பி மருத்துவர்கள் எதிர்கால தலைமுறைக்கு தவறான எடுத்துக்காட்டாக இருக்கிறார்கள்.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
1586,Transphobic-derogation,ஒரே பாலின பெண்கள் கடைசி வரை நம்மை குழப்புகிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
1587,Homophobic-derogation,LGBTQ சமூகத்தினர் சமூக ஊடகங்களில் தவறான செய்திகளை பரப்புகிறார்கள்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
1588,Homophobic-derogation,ஓரின விவாகம் செய்தவர்கள் எதிர்கால தலைமுறைக்கு தவறான எடுத்துக்காட்டாக இருக்கிறார்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
1589,Transphobic-derogation,பாலின அடையாள மாற்றக்கூடியவர்கள் ஒரு நல்ல எதிர்காலத்தை உருவாக்க முடியாதவர்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
1590,Homophobic-derogation,LGBTQ+ யOUTH அரசியல் நிலைப்பாடுகளுக்கு இடையூறாக இருக்கிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
1591,Transphobic-derogation,மாற்றுப்பாலினம் கொண்டவர்கள் மருத்துவத்தில் நம்பிக்கையை குறைக்கிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
1592,Homophobic-derogation,ஓரினக் காதலர்கள் இளைய தலைமுறையை குழப்புகிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
1593,Transphobic-derogation,திருப்பாலின மாணவர்கள் நம்மை நாங்கள் சந்தேகிக்க வைக்கும் நிலையை உருவாக்குகிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
1594,Transphobic-derogation,பாலினம் மாற்றிய கலைஞர்கள் பக்கம் பக்கம் வசிக்கும் மக்களுக்கு அச்சத்தை உருவாக்குகிறார்கள்.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
1595,Transphobic-derogation,திருநம்பி பெண்கள் குழந்தைகளின் எண்ணத்தையும் வாழ்க்கையையும் பாதிக்கிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
1596,Transphobic-derogation,பாலினம் மாற்றிய கலைஞர்கள் தொலைக்காட்சிகளில் வரும் தோற்றம் குழந்தைகளுக்குச் சீரழிவை ஏற்படுத்துகிறது.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
1597,Transphobic-derogation,திருநங்கை தலைவர்கள் நடத்தை எல்லை மீறுகிறது.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
1598,Homophobic-derogation,lesbian பெண்கள் பொது உரிமைகளை தவறாகப் பயன்படுத்துகிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
1599,Transphobic-derogation,திருநம்பிகள் சமூக ஊடகங்களில் தவறான செய்திகளை பரப்புகிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
1600,Transphobic-derogation,பாலின மாற்றியவர்கள் பள்ளிகளிலும் கல்லூரிகளிலும் தவறான அனுசரணையாக இருக்கிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
1601,Transphobic-derogation,பாலின அடையாளம் மாற்றியவர்கள் அரசியல் நிலைப்பாடுகளுக்கு இடையூறாக இருக்கிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
1602,Transphobic-derogation,திருநங்கை தலைவர்கள் வாழ்க்கையை பாசமில்லாததாக மாற்றுகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
1603,Homophobic-derogation,LGBTQ+ யOUTH நாட்டின் கலாசாரத்தை கெடுக்கின்றனர்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
1604,Homophobic-derogation,ஓரின உறவிலுள்ள பெற்றோர் மற்றவர்களின் நம்பிக்கையை இழக்கச் செய்கிறார்கள்.,"திருநங்கைகள், ஓரின உறவுகளில் இருப்பவர்கள் எல்லோரும் நம் சமுதாயத்தின் பங்கு. அவர்களை வலியுறுத்துவதற்குப் பதிலாக ஆதரிப்போம்."
1605,Homophobic-derogation,பால் மாற்றிய தொழிலாளர்கள் நாட்டின் வளர்ச்சிக்கு தடையாக இருக்கிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
1606,Homophobic-derogation,LGBTQ+ சமூக செயற்பாட்டாளர்கள் வாழ்க்கையை பாசமில்லாததாக மாற்றுகிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
1607,Transphobic-derogation,திருநங்கை ஆசிரியர்கள் அரசியல் நிலைப்பாடுகளுக்கு இடையூறாக இருக்கிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
1608,Transphobic-derogation,ஓரின உறவினர் திருமண உறவை இழிவுபடுத்துகிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
1609,Transphobic-derogation,திருநம்பி மருத்துவர்கள் வளர்ந்த சமுதாயத்தில் இந்த மாதிரியான நடத்தை ஏற்க முடியாது.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
1610,Transphobic-derogation,பாலினம் மாற்றிய கலைஞர்கள் உள்ளழுத்தங்களை ஏற்படுத்துகிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
1611,Transphobic-derogation,மாற்றுபாலின தலைவர்கள் சமூக ஊடகங்களில் தவறான செய்திகளை பரப்புகிறார்கள்.,"திருநங்கைகள், ஓரின உறவுகளில் இருப்பவர்கள் எல்லோரும் நம் சமுதாயத்தின் பங்கு. அவர்களை வலியுறுத்துவதற்குப் பதிலாக ஆதரிப்போம்."
1612,Homophobic-derogation,LGBTQ+ கல்லூரி மாணவர்கள் நடத்தை எல்லை மீறுகிறது.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
1613,Homophobic-Threatening,ஓரின உறவுகளை கொண்டோர்கள் பொதுவிடங்களில் நடந்து கொள்ளும் விதம் அசிங்கமாக உள்ளது.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
1614,Transphobic-derogation,மாற்றுப்பாலினம் கொண்ட நிர்வாகிகள் பள்ளிகளிலும் கல்லூரிகளிலும் தவறான அனுசரணையாக இருக்கிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
1615,Transphobic-derogation,பாலின அடையாள மாற்றக்கூடியவர்கள் சமூகத்தில் அனியாயத்தை ஏற்படுத்துகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
1616,Homophobic-derogation,LGBTQ+ சமூக செயற்பாட்டாளர்கள் மருத்துவத்தில் நம்பிக்கையை குறைக்கிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
1617,Transphobic-derogation,திருநம்பி மருத்துவர்கள் கடைசி வரை நம்மை குழப்புகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
1618,Homophobic-derogation,LGBTQ+ கல்லூரி மாணவர்கள் இடத்தில் மரியாதை குறைவாக உள்ளது.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
1619,Transphobic-derogation,பாலின மாற்றியவர்கள் பணியிடங்களில் இடர்ப்பாடுகளை உருவாக்குகிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
1620,Transphobic-derogation,பாலின அடையாளம் வெளிப்படுத்திய ஆசிரியர்கள் சமூகத்தில் அனியாயத்தை ஏற்படுத்துகிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
1621,Transphobic-derogation,பாலினம் மாற்றிய கலைஞர்கள் ஒரு நல்ல எதிர்காலத்தை உருவாக்க முடியாதவர்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
1622,Homophobic-derogation,LGBTQ தொழிலாளர்கள் தங்கள் சுதந்திரத்தை தவறாக பயன்படுத்துகிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
1623,Homophobic-derogation,ஓரின உறவிலுள்ள பெற்றோர் உள்ளழுத்தங்களை ஏற்படுத்துகிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
1624,Transphobic-derogation,மாற்றுபாலின தலைவர்கள் திருமண உறவை இழிவுபடுத்துகிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
1625,Homophobic-derogation,ஓரின உறவுகளை கொண்டோர்கள் வளர்ந்த சமுதாயத்தில் இந்த மாதிரியான நடத்தை ஏற்க முடியாது.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
1626,Homophobic-derogation,மாறுபட்ட பாலியல் விருப்பம் கொண்டவர்கள் தொழில்நுட்ப வளர்ச்சியில் தடையாக இருக்கிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
1627,Homophobic-derogation,LGBTQ சமூகத்தினர் சமூகத்திலிருந்து தனிமைப்படுத்தப்பட வேண்டும்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
1628,Homophobic-derogation,lesbian பெண்கள் குழந்தைகளின் எண்ணத்தையும் வாழ்க்கையையும் பாதிக்கிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
1629,Homophobic-derogation,ஓரின உறவினர் மருத்துவத்தில் நம்பிக்கையை குறைக்கிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
1630,Transphobic-derogation,மாற்றுப்பாலினம் கொண்ட நிர்வாகிகள் திருமண உறவை இழிவுபடுத்துகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
1631,Transphobic-derogation,பாலின அடையாளம் வெளிப்படுத்திய ஆசிரியர்கள் சமுதாய ஒற்றுமையை சிதைக்கிறார்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
1632,Transphobic-Threatening,பாலின அடையாள மாற்றக்கூடியவர்கள் பொதுவிடங்களில் நடந்து கொள்ளும் விதம் அசிங்கமாக உள்ளது.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
1633,Homophobic-derogation,LGBTQ தொழிலாளர்கள் கடைசி வரை நம்மை குழப்புகிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
1634,Transphobic-derogation,மாற்றுப்பாலினம் கொண்ட நிர்வாகிகள் பொதுவிடங்களில் நாகரிக ஒழுங்குக்கு மாறாக நடந்துகொள்கிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
1635,Transphobic-derogation,பாலின அடையாளம் மாற்றியவர்கள் தொலைக்காட்சிகளில் வரும் தோற்றம் குழந்தைகளுக்குச் சீரழிவை ஏற்படுத்துகிறது.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
1636,Transphobic-derogation,திருநம்பிகள் பள்ளிகளிலும் கல்லூரிகளிலும் தவறான அனுசரணையாக இருக்கிறார்கள்.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
1637,Transphobic-derogation,ஒரே பாலின ஆண்கள் இடத்தில் மரியாதை குறைவாக உள்ளது.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
1638,Transphobic-derogation,திருநங்கை போலீசார் நம் வாழ்க்கையின் அடிப்படைகளை குழப்புகிறார்கள்.,"திருநங்கைகள், ஓரின உறவுகளில் இருப்பவர்கள் எல்லோரும் நம் சமுதாயத்தின் பங்கு. அவர்களை வலியுறுத்துவதற்குப் பதிலாக ஆதரிப்போம்."
1639,Transphobic-derogation,திருநம்பிகள் இளைய தலைமுறையை குழப்புகிறார்கள்.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
1640,Transphobic-derogation,ஒரே பாலின பெண்கள் நடத்தை எல்லை மீறுகிறது.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
1641,Transphobic-derogation,திருநங்கை ஆசிரியர்கள் இடத்தில் மரியாதை குறைவாக உள்ளது.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
1642,Homophobic-derogation,LGBTQ+ யOUTH சமூக நம்பிக்கையை பாதிக்கிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
1643,Homophobic-derogation,LGBTQ+ சமூக செயற்பாட்டாளர்கள் சமூகத்தில் அனியாயத்தை ஏற்படுத்துகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
1644,Homophobic-derogation,ஓரின உறவினர் இடத்தில் மரியாதை குறைவாக உள்ளது.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
1645,Transphobic-derogation,ஒரே பாலின உறவில் இருப்பவர்கள் சமூக நம்பிக்கையை பாதிக்கிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
1646,Transphobic-derogation,பாலின மாற்றியவர்கள் உள்ளழுத்தங்களை ஏற்படுத்துகிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
1647,Homophobic-derogation,மாறுபட்ட பாலியல் விருப்பம் கொண்டவர்கள் வேலை இடங்களில் குழப்பம் ஏற்படுத்துகிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
1648,Homophobic-derogation,ஓரின உறவிலுள்ள பெற்றோர் பக்கம் பக்கம் வசிக்கும் மக்களுக்கு அச்சத்தை உருவாக்குகிறார்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
1649,Transphobic-derogation,மாற்றுப்பாலினம் கொண்ட நிர்வாகிகள் தொழில்நுட்ப வளர்ச்சியில் தடையாக இருக்கிறார்கள்.,"திருநங்கைகள், ஓரின உறவுகளில் இருப்பவர்கள் எல்லோரும் நம் சமுதாயத்தின் பங்கு. அவர்களை வலியுறுத்துவதற்குப் பதிலாக ஆதரிப்போம்."
1650,Transphobic-derogation,பாலினம் மாற்றிய கலைஞர்கள் மதிப்பில்லாத வாழ்க்கையை பின்பற்றுகிறார்கள்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
1651,Transphobic-derogation,மாற்றுபாலினம் கொண்ட உழைப்பாளர்கள் எதையும் கவனிக்காத விதத்தில் நடந்துகொள்கிறார்கள்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
1652,Transphobic-derogation,மாற்றுபாலின தலைவர்கள் நாட்டின் மதிப்பை சரிவதிகாக்கிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
1653,Homophobic-derogation,பாலியல் வகை மாற்றியவர்கள் நம் கல்வி முறையை பாழடைக்கிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
1654,Transphobic-derogation,திருநங்கைகள் தவறான வழியை சமூகத்தில் பரப்புகிறார்கள்.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
1655,Homophobic-derogation,ஓரின உறவினர் இளைய தலைமுறையை குழப்புகிறார்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
1656,Homophobic-derogation,ஓரின விருப்பம் கொண்டவர்கள் பள்ளி மற்றும் கல்லூரிகளில் தவறான முன்னுதாரணமாக இருக்கிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
1657,Transphobic-derogation,திருநங்கை ஊடகப் பேச்சாளர்கள் வெளிநாட்டு பைத்தியக் கலாசாரத்தை கொண்டு வந்துள்ளனர்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
1658,Transphobic-derogation,திருநங்கை ஊடகப் பேச்சாளர்கள் சமூகத்திற்கு தவறான உணர்வுகளை ஏற்படுத்துகிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
1659,Transphobic-derogation,திருநங்கை போலீசார் கடைசி வரை நம்மை குழப்புகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
1660,Homophobic-derogation,LGBTQ+ தொழில்நுட்ப நிபுணர்கள் தங்கள் அடையாளத்தை முன்னிறுத்தி மற்றவர்களை பாதிக்கிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
1661,Transphobic-derogation,திருநங்கை ஊடகப் பேச்சாளர்கள் நேர்மை மற்றும் ஒழுக்கத்துக்குத் துரோகம் செய்கிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
1662,Transphobic-derogation,திருப்பாலின பத்திரிகையாளர்கள் கலாசார ஒழுக்கத்திற்கு மாறான செயலில் ஈடுபடுகிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
1663,Transphobic-derogation,திருப்பாலின மாணவர்கள் நாட்டின் கலாசாரத்தை கெடுக்கின்றனர்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
1664,Homophobic-derogation,நபர் அடையாளம் வெளிப்படையாக கொண்டவர்கள் சமுதாய ஒற்றுமையை சிதைக்கிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
